Pseudo;Nom;Prenom;Telephone;Campus
USERCSV1;Farley;Ina;04 42 36 19 08;1
USERCSV2;Cooke;Mona;01 96 17 24 65;4
USERCSV3;Irwin;Baker;09 80 86 92 00;7
USERCSV4;Lindsey;Nichole;02 99 91 11 46;8
USERCSV5;Mueller;Joan;01 45 06 79 02;1
USERCSV6;Hopper;Davis;03 48 67 40 01;8
USERCSV7;Joyner;Emmanuel;04 87 39 91 59;6
USERCSV8;Pope;Tate;08 30 67 63 42;3
USERCSV9;Fowler;Tatum;01 04 96 91 86;8
USERCSV10;Mcdaniel;Craig;05 57 84 61 98;6
USERCSV11;Golden;Lane;08 39 02 50 15;7
USERCSV12;Whitaker;Hamilton;03 68 50 82 18;7
USERCSV13;Foster;Jeanette;07 28 51 28 43;7
USERCSV14;Wilson;Dacey;03 74 91 57 23;5
USERCSV15;Carney;Lillian;01 16 80 85 15;2
USERCSV16;Finch;Belle;08 35 64 06 27;4
USERCSV17;Manning;Violet;04 79 93 60 43;7
USERCSV18;Chapman;Gannon;09 20 53 23 01;5
USERCSV19;Olson;Hyatt;09 36 21 34 97;6
USERCSV20;Bridges;Maxwell;03 83 77 95 24;7
USERCSV21;Wall;Quinlan;02 37 22 78 50;5
USERCSV22;Glass;Hasad;03 34 53 91 98;5
USERCSV23;Snider;Denton;06 35 50 40 88;6
USERCSV24;Wong;Catherine;05 05 72 03 44;1
USERCSV25;Kramer;Helen;08 05 25 02 35;1
USERCSV26;Sloan;Stephen;08 63 41 53 28;4
USERCSV27;Ramos;Erica;06 74 13 88 55;1
USERCSV28;Hammond;Karen;02 86 54 71 49;8
USERCSV29;Alford;Simone;03 79 71 87 78;3
USERCSV30;Jackson;Lani;01 54 64 63 44;6
USERCSV31;Powell;Karyn;06 95 19 08 34;3
USERCSV32;Curtis;Allen;04 39 82 13 53;1
USERCSV33;Wright;William;09 47 18 52 78;4
USERCSV34;Hardy;Colton;03 16 83 08 26;6
USERCSV35;Walker;Wanda;06 75 70 17 31;4
USERCSV36;Washington;Lee;01 10 81 73 64;2
USERCSV37;Meyer;Aaron;08 64 95 08 75;2
USERCSV38;Ashley;Hilel;09 82 19 34 29;1
USERCSV39;Rutledge;Carlos;06 27 13 88 73;8
USERCSV40;Stevenson;Jamalia;06 73 10 11 43;7
USERCSV41;Beck;Gage;03 22 27 79 34;2
USERCSV42;Richardson;Herrod;05 00 03 80 87;6
USERCSV43;Meyers;Maxine;01 61 65 24 50;2
USERCSV44;Pruitt;Drake;02 41 62 11 38;2
USERCSV45;Hansen;Zephr;06 23 82 79 50;3
USERCSV46;Booth;Asher;04 46 53 92 24;5
USERCSV47;Holder;Reed;07 29 30 28 84;3
USERCSV48;Burgess;Evangeline;04 97 99 28 73;5
USERCSV49;Malone;Isabella;01 80 54 20 12;2
USERCSV50;Harper;Emily;04 91 36 41 37;3
USERCSV51;Schultz;Beau;04 15 46 28 80;3
USERCSV52;Cross;Driscoll;09 56 05 24 23;4
USERCSV53;Snyder;Tarik;06 57 82 94 91;6
USERCSV54;Morales;Moses;05 67 21 08 84;8
USERCSV55;Hayden;Illiana;06 38 15 89 37;5
USERCSV56;Lancaster;Megan;09 89 41 08 94;8
USERCSV57;Hutchinson;Marsden;03 31 23 08 58;1
USERCSV58;Chambers;Ray;08 80 48 12 92;7
USERCSV59;Evans;Oliver;01 98 49 24 67;4
USERCSV60;Howard;Ashely;01 04 86 68 91;2
USERCSV61;Davenport;Kennan;09 54 44 95 88;2
USERCSV62;Obrien;Mari;06 28 44 35 05;5
USERCSV63;Warren;Omar;06 65 48 62 95;8
USERCSV64;Cook;Haley;05 16 15 36 91;4
USERCSV65;Maddox;Eric;05 10 07 93 07;7
USERCSV66;Glover;Isadora;03 94 48 82 27;8
USERCSV67;Atkins;Marah;02 20 36 10 58;4
USERCSV68;Weaver;Michael;09 39 26 40 49;2
USERCSV69;Griffith;Kirby;01 76 01 17 70;2
USERCSV70;Knowles;Autumn;05 28 86 13 05;6
USERCSV71;Murray;Brian;06 53 24 48 25;4
USERCSV72;Myers;Thomas;09 15 11 36 45;5
USERCSV73;Mckay;Olga;09 48 88 93 18;4
USERCSV74;Whitley;Brian;06 65 74 30 13;7
USERCSV75;Downs;Gabriel;04 68 46 05 50;2
USERCSV76;Hahn;Carissa;07 61 40 11 43;8
USERCSV77;Wallace;Reece;07 11 57 92 11;8
USERCSV78;Faulkner;Jennifer;05 24 36 48 63;2
USERCSV79;Mccall;Devin;04 50 90 58 42;6
USERCSV80;Woods;Sage;07 24 31 82 22;6
USERCSV81;Luna;Walter;01 65 96 15 35;8
USERCSV82;Pierce;Ahmed;06 87 94 31 82;2
USERCSV83;Fletcher;Jemima;01 27 00 48 27;6
USERCSV84;Greene;Kevin;02 09 65 43 74;7
USERCSV85;Jones;Prescott;09 98 60 85 91;7
USERCSV86;Wilkinson;Taylor;09 37 74 96 22;3
USERCSV87;Dickerson;Aurelia;03 74 53 80 54;6
USERCSV88;Cardenas;Byron;02 79 62 64 14;6
USERCSV89;Murphy;Plato;04 41 07 58 19;4
USERCSV90;Berg;Aubrey;03 29 68 92 04;1
USERCSV91;Sandoval;Nissim;09 73 68 12 35;6
USERCSV92;Chaney;Ora;02 16 80 39 69;1
USERCSV93;Hicks;Christopher;01 97 89 48 87;5
USERCSV94;Briggs;May;07 64 82 79 25;3
USERCSV95;Carver;Jonah;07 90 99 96 29;3
USERCSV96;Greer;Kevyn;08 06 04 01 42;1
USERCSV97;Ferrell;Rhona;06 70 04 59 93;3
USERCSV98;Fischer;Tana;05 55 87 18 32;3
USERCSV99;Padilla;Angelica;07 23 38 05 34;2
USERCSV100;Burks;George;01 42 25 98 42;4
